;Religião;Atuação Política;Kairós;Família;Pátria;Esquerda;Verdade;Educação
“Fique em casa, a economia a gente vê depois.” O “depois” chegou.;0,028;0,039;0,016;0,077;0,050;0,000;0,034;0,000
COLETIVA COM DEPUTADOS DA OPOSIÇÃO PEGOU FOGO;0,028;0,095;0,072;0,079;0,022;0,041;0,070;0,000
Bolsonaro e a agenda globalista com Débora G.Barbosa;0,027;0,062;0,063;0,044;0,118;0,028;0,067;0,021
O BRASIL PRECISA QUE VOCÊ ENTENDA ISSO;0,026;0,062;0,082;0,047;0,135;0,101;0,054;0,000
Lançamento da…;0,026;0,000;0,037;0,020;0,008;0,000;0,016;0,000
"""Não é pra ter AULA, é pra ter LUTA""";0,026;0,000;0,049;0,052;0,022;0,103;0,000;0,376
EXPONDO A VERDADE EM MINUTOS;0,026;0,048;0,082;0,096;0,062;0,180;0,041;0,000
MANIFESTAÇÃO DIA 03/08 - PQ EU VOU E VOCÊ TBM DEVE ;0,025;0,000;0,057;0,019;0,145;0,111;0,015;0,000
Desmascarando o feminismo. VEJA ATÉ O FINAL;0,025;0,009;0,099;0,087;0,008;0,245;0,053;0,012
Como recuperar um jovem de esquerda?;0,025;0,025;0,029;0,055;0,046;0,044;0,133;0,163
DISCURSO EMOCIONANTE NIKOLAS 72KM - DIA 02 CAMINHADA PELA LIBERDADE;0,025;0,080;0,129;0,092;0,105;0,145;0,000;0,020
Indignação seletiva pra cima de mim? Então toma!;0,025;0,026;0,069;0,025;0,000;0,027;0,000;0,000
EP 03- JORGE LUIZ: PRESO PELO PRÓPRIO NOME;0,024;0,022;0,104;0,167;0,056;0,000;0,000;0,000
OPERAÇÃO LIMPEZA: Aprenda a estratégia que vai destruir a esquerda nas eleições municipais;0,024;0,036;0,085;0,028;0,054;0,055;0,047;0,073
O que não te contaram sobre Olavo de Carvalho;0,024;0,021;0,060;0,067;0,030;0,023;0,073;0,108
QUE CACETADA! DESTRUIU O MORAES;0,024;0,203;0,051;0,048;0,078;0,081;0,018;0,075
EP 07 - CORONEL PRESO HÁ 300 DIAS!!!;0,024;0,000;0,147;0,102;0,077;0,062;0,021;0,000
Querem acabar com a minha candidatura;0,023;0,047;0,043;0,024;0,000;0,074;0,000;0,000
NIKOLAS VISITA BOLSONARO E SOLTA O VERBO;0,023;0,263;0,039;0,000;0,038;0,036;0,000;0,000
Quem ganhou o BBB?!;0,023;0,012;0,046;0,048;0,076;0,056;0,071;0,000
PEGOU FOGO! NIKOLAS ENQUADRA MINISTRA DO LULA;0,023;0,068;0,062;0,024;0,019;0,150;0,084;0,000
UM APELO AO STF;0,023;0,047;0,020;0,258;0,144;0,025;0,019;0,000
VOU SER PAPAI???;0,023;0,000;0,024;0,050;0,000;0,000;0,000;0,000
NIKOLAS FERREIRA - Comissão de Educação;0,023;0,227;0,035;0,042;0,021;0,016;0,045;0,324
Feminismo: o maior movimento genocida do mundo;0,022;0,000;0,038;0,230;0,021;0,027;0,000;0,000
MELHORES MOMENTOS - Nikolas Ferreira no Pânico - 04/08/21;0,022;0,108;0,049;0,014;0,045;0,076;0,027;0,021
CASO CLERISTON - STF TEM SANGUE NAS MÃOS;0,022;0,121;0,050;0,053;0,009;0,153;0,090;0,000
CRISTÃOS SE JUNTAM CONTRA LULA;0,022;0,025;0,016;0,044;0,100;0,112;0,000;0,000
NIKOLAS VISITA BOLSONARO NA CADEIA - ENTREVISTA COMPLETA;0,022;0,091;0,069;0,012;0,085;0,097;0,032;0,021
LULA DECRETA BANHEIRO UNISSEX NO BRASIL;0,021;0,019;0,066;0,049;0,026;0,131;0,030;0,021
Ditadura em BH;0,021;0,000;0,040;0,015;0,000;0,000;0,039;0,110
O que está acontecendo em CUBA?!;0,021;0,022;0,035;0,000;0,105;0,000;0,038;0,033
“Como eu posso ajudar o Bolsonaro?” - DESAFIO PRA VOCÊ;0,021;0,283;0,038;0,163;0,194;0,052;0,037;0,000
Destruindo as MENTIRAS da mídia mineira;0,021;0,006;0,044;0,000;0,009;0,006;0,077;0,000
O que é fascismo?;0,020;0,000;0,011;0,087;0,044;0,035;0,055;0,137
Apenas 1 motivo pra votar no BOLSONARO;0,020;0,098;0,086;0,087;0,032;0,017;0,020;0,029
CARROS PARADOS POR CONTA DE ADESIVO? FOMOS COBRAR.;0,020;0,082;0,043;0,052;0,024;0,051;0,017;0,000
"Live com ""Mães Direitas""";0,020;0,010;0,068;0,098;0,036;0,025;0,060;0,030
Esquerda comemorou minha censura e…;0,020;0,020;0,087;0,041;0,053;0,035;0,018;0,000
A decisão mais difícil da minha vida. Tudo ou nada;0,020;0,078;0,075;0,022;0,032;0,000;0,070;0,060
CASAMENTO GAY - UMA ANÁLISE SÉRIA DO TEMA;0,020;0,044;0,029;0,079;0,020;0,162;0,083;0,017
CHOQUEI ASSASSINA?;0,019;0,022;0,024;0,031;0,000;0,032;0,026;0,000
Misoginia? Saiba a verdade do que foi aprovado. ;0,019;0,027;0,066;0,014;0,032;0,447;0,023;0,000
OPOSIÇÃO VAI PRA CIMA DE DINO E SOLICITA IMAGENS À PGR;0,019;0,095;0,018;0,020;0,028;0,031;0,047;0,000
Nikolas Ferreira no CPAC 2021;0,019;0,078;0,063;0,085;0,033;0,007;0,027;0,118
ILHA DE MARAJÓ - ELA AVISOU E FOI ZOMBADA;0,019;0,105;0,061;0,077;0,034;0,057;0,014;0,000
Escala 6x1 - o que não te contaram;0,019;0,050;0,120;0,029;0,072;0,082;0,067;0,021
RESPOSTA AO NANDO MOURA;0,018;0,071;0,063;0,056;0,031;0,000;0,007;0,015
FOI GOLPE OU NÃO? FATOS X NARRATIVAS;0,018;0,231;0,026;0,018;0,032;0,072;0,005;0,009
Bolsonaro GENOCIDA?;0,018;0,203;0,029;0,070;0,013;0,039;0,074;0,000
Debate - Nikolas Ferreira x esquerda (Homem TRANS em banheiro feminino);0,017;0,038;0,066;0,091;0,055;0,185;0,062;0,048
NIKOLAS RESPONDE ESQUERDISTA SOBRE SEU TRABALHO;0,017;0,057;0,051;0,078;0,011;0,042;0,010;0,127
O MUNDO ENLOUQUECEU- REACT;0,017;0,033;0,060;0,018;0,114;0,072;0,024;0,039
NIKOLAS FALOU O QUE MUITOS QUERIAM FALAR;0,017;0,064;0,114;0,064;0,087;0,084;0,060;0,000
NIKOLAS AJUDOU O PCC???;0,016;0,019;0,041;0,000;0,055;0,107;0,000;0,013
POLÍCIA FEDERAL VAI INVESTIGAR NIKOLAS?;0,016;0,139;0,074;0,032;0,039;0,096;0,040;0,000
Felipe Neto e sua hipocrisia;0,016;0,000;0,108;0,087;0,043;0,018;0,000;0,000
NIKOLAS SOBRE ERIKA: “ELE NÃO”;0,016;0,128;0,018;0,012;0,032;0,512;0,034;0,008
Primeiro dia de Deputado;0,016;0,297;0,086;0,016;0,052;0,051;0,042;0,000
Entrevista Completa - Nikolas Ferreira na Jovem Pan;0,015;0,014;0,074;0,055;0,055;0,000;0,080;0,056
O real PERIGO da Ideologia de Gênero;0,015;0,000;0,086;0,136;0,014;0,200;0,041;0,007
Como acontece a doutrinação nas universidades?;0,015;0,017;0,044;0,008;0,047;0,008;0,013;0,407
PODCASTS BOLSONARO X LULA NA GLOBO;0,014;0,127;0,019;0,022;0,019;0,119;0,044;0,023
NIKOLAS ACABA COM GLOBO E PT;0,014;0,067;0,071;0,000;0,045;0,067;0,066;0,019
ELES NÃO QUEREM QUE VOCÊ SAIBA DISTO;0,014;0,011;0,088;0,015;0,052;0,052;0,070;0,000
A VERDADE SOBRE O PROJETO DA “ANISTIA”;0,013;0,105;0,133;0,122;0,012;0,029;0,057;0,000
MBL na Ucrânia: tudo pela mídia;0,012;0,118;0,015;0,013;0,111;0,000;0,000;0,000
MELHORES MOMENTOS - Nikolas Ferreira no Pânico - 06/05/21;0,012;0,065;0,033;0,066;0,059;0,013;0,043;0,065
MELHORES MOMENTOS - Nikolas Ferreira no Opinião no Ar - 15/10/21;0,012;0,058;0,083;0,075;0,021;0,021;0,074;0,130
ENTENDA O PERIGO DO QUE ELE DISSE;0,012;0,000;0,063;0,025;0,025;0,038;0,029;0,019
ESTAMOS FERRADOS! O QUE FAZER AGORA?;0,012;0,076;0,160;0,013;0,082;0,205;0,043;0,019
Seu professor NUNCA te contou (regime militar);0,012;0,034;0,020;0,039;0,022;0,037;0,042;0,018
NIKOLAS PASSA O TRATOR EM BOULOS 🔥;0,011;0,070;0,036;0,011;0,045;0,039;0,011;0,016
CPI DA COVID - A CASA CAIU PRO KALIL;0,011;0,029;0,031;0,010;0,009;0,000;0,087;0,000
OS TERRÍVEIS ALIADOS DO PREFEITO DE BH;0,011;0,047;0,051;0,025;0,009;0,229;0,010;0,034
Plano Nacional de Educação (PNE) Seminário - 10/12/2024;0,011;0,060;0,077;0,136;0,055;0,004;0,019;0,323
Lacração na cultura pop;0,010;0,009;0,047;0,039;0,022;0,071;0,056;0,013
Bolsonaro na GLOBO - Festival de cinismo;0,010;0,170;0,097;0,251;0,028;0,000;0,018;0,000
MINISTRA DO LULA FICA TRAVADA COM PERGUNTA DE NIKOLAS FERREIRA;0,010;0,020;0,029;0,009;0,019;0,520;0,053;0,000
AFINAL, A CULPA É DE QUEM?;0,009;0,124;0,010;0,000;0,233;0,191;0,000;0,000
A VERDADE SOBRE OS PROJETOS DOS CELULARES;0,009;0,097;0,018;0,063;0,031;0,021;0,059;0,340
RJ E CRIMINALIDADE no Brasil - o que vai acontecer daqui pra frente;0,009;0,079;0,031;0,018;0,165;0,029;0,088;0,014
A ÚNICA COISA QUE O BRASIL PRECISA É…;0,009;0,104;0,117;0,049;0,138;0,018;0,007;0,046
MELHOR EXPLICAÇÃO SOBRE TRUMP E ATENTADO;0,008;0,108;0,025;0,056;0,066;0,018;0,052;0,000
Felipe Neto DESAFIOU, EU RESPONDI;0,008;0,033;0,055;0,005;0,131;0,170;0,036;0,018
DEBATE NA BAND E A TRETA NOS BASTIDORES;0,008;0,111;0,025;0,017;0,021;0,154;0,046;0,000
PRONOME NEUTRO:  QUEREM CANCELAR O PORTUGUÊS!;0,008;0,000;0,064;0,009;0,000;0,009;0,028;0,025
Expondo a VELHA POLÍTICA - em áudios;0,008;0,033;0,039;0,000;0,027;0,000;0,024;0,012
MORAES FOI SANCIONADO - E AGORA? ;0,008;0,034;0,056;0,009;0,161;0,019;0,043;0,013
LULA PAI DOS POBRES? FUI ATRÁS;0,008;0,037;0,072;0,033;0,086;0,205;0,014;0,022
Debate - Nikolas Ferreira x 5 esquerdistas (Pronome Neutro);0,008;0,063;0,068;0,064;0,053;0,062;0,047;0,168
NIKOLAS RESPONDEU!;0,007;0,000;0,053;0,023;0,019;0,165;0,090;0,010
O que ele disse É MUITO PERIGOSO;0,006;0,165;0,034;0,073;0,039;0,021;0,029;0,009
Ucrânia x Putin - Tirando todas as dúvidas;0,006;0,082;0,069;0,019;0,154;0,005;0,019;0,019
NIKOLAS É APLAUDIDO NA ONU;0,005;0,000;0,000;0,000;0,000;0,004;0,000;0,000
NIKOLAS FAZ DISCURSO EMOCIONANTE NO SENADO DA ESPANHA;0,005;0,000;0,000;0,000;0,000;0,000;0,000;0,000
DISCURSO FORTE DE NIKOLAS NO PARLAMENTO EUROPEU;0,004;0,000;0,000;0,000;0,000;0,003;0,000;0,000
MELHORES MOMENTOS - Nikolas Ferreira no Pânico - 18/11/21;0,004;0,102;0,075;0,008;0,048;0,038;0,056;0,036
QUEM SÃO OS EXTREMISTAS? ;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
NIKOLAS FERREIRA - Comissão de Educação 04/12/2024;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
DIA 8 DE JANEIRO E O TEATRO DA “DEMOCRACIA”;0,000;0,020;0,151;0,020;0,253;0,087;0,000;0,000
A BELO HORIZONTE QUE NÃO PASSA NA TV;0,000;0,000;0,060;0,036;0,011;0,020;0,010;0,000
ANISTIA - O QUE NÃO TE CONTARAM;0,000;0,025;0,243;0,070;0,056;0,025;0,009;0,000
MELHORES MOMENTOS - Nikolas Ferreira no Opinião no Ar - 26/05/21;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
UM TOTAL ABSURDO!!! ;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
O PIX voltou! O Brasil venceu;0,000;0,000;0,144;0,000;0,140;0,206;0,000;0,000
Um desabafo sincero.;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
O VÍDEO QUE VAI DERRUBAR O GOVERNO LULA;0,000;0,158;0,079;0,033;0,055;0,085;0,009;0,000
Meu último vídeo;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Escola Sem Partido: PRA QUÊ?!;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
ATUALIZAÇÕES SOBRE CASO TJ MG DO “MARIDO”EST4PRAD0R DA CRIANÇA DE 12 ANOS;0,000;0,044;0,123;0,125;0,027;0,066;0,030;0,000
O INIMIGO OCULTO DO BRASIL: PSD;0,000;0,101;0,038;0,016;0,036;0,066;0,013;0,000
A MORTE DE UM POLICIAL VIROU SÓ UM NÚMERO;0,000;0,120;0,077;0,040;0,163;0,093;0,017;0,029
COTA TRANS EM UNIVERSIDADE - DA PRA ACREDITAR?;0,000;0,000;0,000;0,012;0,009;0,024;0,033;0,055
O PIX ESTÁ UNINDO O POVO;0,000;0,032;0,036;0,014;0,088;0,164;0,000;0,077
A geração mais hipócrita que já existiu;0,000;0,000;0,122;0,067;0,030;0,000;0,029;0,000
FIQUEM EM CASA VIROU... VEM PRA RUA!;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
O que o povo quer?;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Tentaram cassar meu mandato. Perderam! Um forte abraço 👍🏻;0,000;0,058;0,000;0,000;0,050;0,094;0,047;0,000
10 FATOS - HADDAD E PT;0,000;0,017;0,027;0,015;0,117;0,152;0,047;0,145
JANJA ATACA NIKOLAS E ELE RESPONDE…;0,000;0,055;0,052;0,034;0,036;0,515;0,037;0,009
O inferno está em festa;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Cadê o distanciamento? Tomei garrafada;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
GORDOFOBIA?;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
A hipocrisia do Feministo em poucos minutos;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Dossiê Felipe Neto - Tudo que você precisa saber [+18];0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
MELHORES MOMENTOS - Nikolas Ferreira no Pânico - 30/08/21;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Professor foi flagrado doutrinando em sala!;0,000;0,000;0,026;0,137;0,025;0,037;0,000;0,381
PL DA CENSURA - ENTENDA TUDO;0,000;0,109;0,033;0,010;0,024;0,051;0,025;0,000
ENFIM, CASADOS!;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Não se cale para a minoria barulhenta;0,000;0,000;0,000;0,000;0,093;0,000;0,108;0,000
Cyber siririca: eis a juventude que a esquerda criou;0,000;0,000;0,024;0,000;0,000;0,104;0,051;0,000
Aonde vamos parar?;0,000;0,000;0,033;0,069;0,025;0,000;0,000;0,000
VAI SE CANDIDATAR?;0,000;0,000;0,048;0,000;0,047;0,000;0,000;0,000
Você é como essa planta;0,000;0,000;0,136;0,157;0,000;0,000;0,042;0,000
Por que derrubaram minhas contas? A verdade;0,000;0,079;0,023;0,000;0,015;0,030;0,059;0,000
Fomos ao presídio feminino - relatos sobre o dia 08/01;0,000;0,049;0,111;0,015;0,022;0,016;0,072;0,000
Desmentindo uma PSOLISTA;0,000;0,000;0,015;0,079;0,000;0,000;0,037;0,000
Cabo Cardoso e o SILÊNCIO da esquerda;0,000;0,023;0,000;0,127;0,000;0,108;0,000;0,000
Pedi a PRISÃO de Ciro Gomes e Marcelo Freixo;0,000;0,210;0,023;0,000;0,016;0,000;0,035;0,000
A cara de PAU de Maduro!;0,000;0,044;0,042;0,000;0,158;0,021;0,000;0,091
"A ""FARRA"" CULTURAL 2019";0,000;0,000;0,029;0,037;0,000;0,000;0,000;0,053
NIKOLAS É APLAUDIDO EM SUA PRIMEIRA FALA NA CPMI;0,000;0,111;0,157;0,000;0,016;0,129;0,085;0,000
“NÃO FOI CRIME” decide PGR sobre Nikolas;0,000;0,029;0,041;0,000;0,066;0,204;0,066;0,000
Por que a dor importa?;0,000;0,000;0,190;0,022;0,012;0,000;0,042;0,000
Destruindo comunistas - AO VIVAÇO;0,000;0,000;0,054;0,000;0,041;0,090;0,000;0,000
PALESTINA AJUDOU BRUMADINHO??!;0,000;0,000;0,000;0,023;0,000;0,048;0,046;0,000
NIKOLAS REVELA SUPOSTO ESQUEMA MILIONÁRIO DO PT;0,000;0,028;0,011;0,000;0,022;0,178;0,012;0,021
A esperança somos nós. Prepare-se!;0,000;0,000;0,000;0,000;0,130;0,055;0,103;0,000
Quem é Rodrigo Maia?;0,000;0,044;0,000;0,000;0,000;0,021;0,017;0,000
Bilzerian e a hipocrisia;0,000;0,000;0,014;0,000;0,023;0,364;0,026;0,000
"A hipocrisia do ""Fique em casa""";0,000;0,000;0,041;0,559;0,026;0,000;0,000;0,029
A VERDADE SOBRE O PL ANTIABORTO;0,000;0,053;0,043;0,175;0,040;0,101;0,051;0,000
CAIXA PRETA - CURSO DO CANDIDATO;0,000;0,136;0,119;0,000;0,021;0,199;0,052;0,000
UBER NO BRASIL, DEPUTADA “NEGRA” E FOCA ARREPENDIDA;0,000;0,046;0,045;0,043;0,049;0,115;0,031;0,000
Derrubamos empréstimo BILIONÁRIO. Saiba a verdade!;0,000;0,000;0,074;0,025;0,021;0,000;0,046;0,000
1º DE ABRIL - MENTIRAS DO LULA;0,000;0,074;0,097;0,042;0,123;0,131;0,041;0,000
EP 01 - CLEZÃO: UM INIMIGO SELECIONADO;0,000;0,012;0,104;0,136;0,008;0,011;0,028;0,000
Se candidate nas Eleições Municipais 2024!;0,000;0,000;0,175;0,000;0,047;0,000;0,000;0,000
RIO DE JANEIRO - GTA DA VIDA REAL?;0,000;0,242;0,022;0,000;0,048;0,052;0,021;0,000
“SOU COMUNISTA, E DAÍ?”;0,000;0,011;0,036;0,010;0,074;0,046;0,015;0,000
EP 05 - AÉCIO: O MONSTRO QUE NUNCA EXISTIU;0,000;0,009;0,125;0,073;0,040;0,021;0,000;0,000
TRAVESTI no banheiro da escola da minha IRMÃ;0,000;0,000;0,026;0,120;0,022;0,266;0,066;0,099
Assassino do Cabo foi preso...e daí?;0,000;0,000;0,032;0,253;0,000;0,000;0,034;0,000
A MANCHA QUE NÃO SAI;0,000;0,000;0,160;0,000;0,043;0,064;0,000;0,000
EP 04 - THIAGO: PRESO PELA BANDEIRA;0,000;0,000;0,160;0,123;0,032;0,000;0,016;0,026
VOCÊ ESTÁ PRONTO?;0,000;0,000;0,125;0,000;0,093;0,000;0,000;0,000
O PERIGO do que ele disse…;0,000;0,065;0,020;0,033;0,078;0,113;0,018;0,000
JINGLE CAMPANHA - NIKOLAS FERREIRA;0,000;0,185;0,000;0,035;0,000;0,000;0,000;0,000
CPMI 08/01 - ENTENDA TUDO;0,000;0,101;0,069;0,009;0,013;0,017;0,082;0,000
Saia da “água”, não espere ser tarde demais!;0,000;0,000;0,069;0,000;0,055;0,000;0,031;0,000
O Lula revelou o plano - VIRALIZEM;0,000;0,032;0,038;0,086;0,093;0,225;0,027;0,048
Ficar em casa?;0,000;0,000;0,017;0,212;0,019;0,000;0,023;0,000
Alexandre Kalil, o hipócrita;0,000;0,000;0,040;0,045;0,041;0,000;0,000;0,000
A Esquerda - Parte 2;0,000;0,000;0,000;0,085;0,000;0,000;0,000;0,199
Toda mulher é feminista??!;0,000;0,000;0,051;0,035;0,028;0,215;0,000;0,000
Puteiro aberto, escola fechada. Até quando?;0,000;0,099;0,071;0,287;0,016;0,000;0,023;0,295
Roubo dentro da PUC - Opinião;0,000;0,000;0,024;0,000;0,023;0,031;0,051;0,047
ADULTIZAÇÃO - E O QUE NÃO TE CONTARAM;0,000;0,005;0,056;0,271;0,036;0,075;0,027;0,015
A MELHOR EXPLICAÇÃO SOBRE 6x1;0,000;0,030;0,086;0,009;0,043;0,046;0,036;0,014
Aborto na Colômbia: o inferno está em festa;0,000;0,008;0,055;0,161;0,043;0,141;0,120;0,025
Dicas de Leitura: Por onde começar ?;0,000;0,010;0,031;0,048;0,057;0,000;0,040;0,000
AMA O LULA? ESSE VÍDEO É PRA VOCÊ 🫶🏻;0,000;0,137;0,079;0,081;0,098;0,203;0,033;0,097
EP 06 - NILMA: DESCONHECIDA DENTRO DE CASA;0,000;0,015;0,151;0,053;0,034;0,000;0,000;0,000
PT quer me tornar inelegível;0,000;0,206;0,056;0,000;0,068;0,000;0,019;0,000
Todos contra UM;0,000;0,150;0,089;0,020;0,080;0,104;0,017;0,087
🇧🇷🎯 Curso O Cristão e a Política;0,000;0,000;0,045;0,000;0,000;0,000;0,000;0,000
Me chamaram de criança na câmara...;0,000;0,059;0,066;0,206;0,096;0,042;0,044;0,164
Felipe Neto na mira do Ministério Público;0,000;0,000;0,000;0,068;0,000;0,000;0,036;0,000
Você não sabia?;0,000;0,056;0,000;0,116;0,000;0,000;0,000;0,000
Atura ou surta;0,000;0,000;0,000;0,000;0,000;0,229;0,000;0,000
Minha resposta à IstoÉ;0,000;0,042;0,060;0,072;0,011;0,015;0,085;0,045
SEJA POSICIONADO;0,000;0,000;0,145;0,124;0,000;0,000;0,045;0,121
NIKOLAS DESAFIA LULA PRA DEBATER 🔥;0,000;0,063;0,053;0,043;0,210;0,187;0,099;0,000
LAVOU A ALMA CONTRA A MARINA SILVA;0,000;0,110;0,087;0,000;0,012;0,104;0,026;0,000
Desmascarando sindicalistas (ao vivo);0,000;0,110;0,089;0,247;0,024;0,000;0,113;0,107
01 DE ABRIL - DIA DO LULA!;0,000;0,047;0,106;0,046;0,203;0,089;0,023;0,000
A CASA CAIU - BOLSONARO GOLPISTA;0,000;0,215;0,053;0,011;0,045;0,028;0,010;0,000
Espero não ser preso. Até amanhã.;0,000;0,000;0,041;0,051;0,085;0,000;0,000;0,000
Quer material de campanha? Posto do Nikolas!;0,000;0,131;0,188;0,000;0,000;0,000;0,000;0,000
Todas as contradições da P4NDEMI4;0,000;0,000;0,000;0,081;0,049;0,000;0,064;0,033
Que tal um “Passaporte Toxicológico”? Já tem gente preocupada…;0,000;0,032;0,000;0,031;0,071;0,000;0,000;0,043
Desenhando para todo mundo entender… Conto com você!;0,000;0,000;0,098;0,057;0,048;0,000;0,000;0,000
Minha vida tá em jogo e não posso me defender;0,000;0,226;0,000;0,000;0,000;0,000;0,094;0,000
Dória mentiu pra você.;0,000;0,054;0,043;0,028;0,021;0,000;0,069;0,000
Esquerda defendendo pichador? Eu tenho a solução!;0,000;0,000;0,000;0,159;0,000;0,000;0,000;0,000
A verdade sobre chuvas em BH;0,000;0,000;0,032;0,000;0,000;0,000;0,031;0,000
Fica aí a pergunta;0,000;0,000;0,000;0,082;0,000;0,029;0,046;0,072
Devolve o dinheiro, Janones!;0,000;0,026;0,020;0,000;0,010;0,013;0,022;0,000
Meu recado para os jovens;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Unmasking Felipe Neto (Desmascarando o Felipe Neto);0,000;0,020;0,000;0,000;0,000;0,000;0,000;0,000
"Acabou o ""Fique em casa""?";0,000;0,000;0,000;0,117;0,000;0,000;0,000;0,000
VAMOS FALAR DAS JOIAS…;0,000;0,024;0,055;0,046;0,041;0,149;0,000;0,034
DUAS CRIANÇAS EST4PR8DAS POR MENORES - ATÉ QUANDO?;0,000;0,082;0,201;0,110;0,107;0,020;0,025;0,000
Mamata em Dubai, Anão e MBL;0,000;0,059;0,065;0,009;0,021;0,000;0,059;0,000
SAIBA QUEM É MESSIAS: O INDICADO AO STF POR LULA ;0,000;0,069;0,016;0,043;0,033;0,169;0,026;0,000
Denúncia de estudante: sexualização no Jovem Aprendiz;0,000;0,000;0,057;0,251;0,027;0,012;0,038;0,094
Vaza áudio de Mamãe Falei - Minha opinião;0,000;0,063;0,050;0,016;0,013;0,086;0,080;0,000
Parabéns, Che!!!;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Mandando a real sobre o JACAREZINHO;0,000;0,000;0,033;0,113;0,031;0,000;0,060;0,047
Pausa na política. Fui pra bateria!;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
08 DE JANEIRO - E O QUE VOCÊ TEM A VER COM ISSO?;0,000;0,047;0,097;0,069;0,072;0,042;0,030;0,010
VALE GÁS DO POVO? LULA TE ENGANOU ;0,000;0,028;0,076;0,081;0,065;0,087;0,065;0,000
DISCURSO NIKOLAS 7 DE SETEMBRO;0,000;0,126;0,068;0,000;0,193;0,127;0,015;0,000
O CRIME NO BRASIL - MEU DISCURSO NA TERRA DE BUKELE;0,000;0,000;0,000;0,000;0,000;0,008;0,000;0,000
Lancei a melhor campanha do Brasil!;0,000;0,036;0,104;0,000;0,000;0,103;0,033;0,000
O nível da nossa oposição... não ficarão impunes.;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
“ESSA É A MINHA IDEIA PARA O BRASIL”;0,000;0,068;0,106;0,075;0,071;0,047;0,015;0,000
As 3 melhores estratégias do seu inimigo;0,000;0,000;0,019;0,000;0,000;0,000;0,072;0,000
PRAÇA MARIELLE?? NÃO MAIS!;0,000;0,000;0,000;0,000;0,000;0,199;0,000;0,000
EU AVISEI - Eles vão monitor seu PIXZ;0,000;0,000;0,029;0,000;0,043;0,076;0,000;0,000
NIKOLAS CONVOCA JOVENS PRA TIRAR TÍTULO DE ELEITOR E EXPLICA ;0,000;0,000;0,097;0,024;0,081;0,026;0,021;0,036
NIKOLAS JOGA A REAL DA EDUCAÇÃO NA FRENTE DOS MILITANTES ESTUDANTIS ;0,000;0,009;0,052;0,069;0,145;0,035;0,052;0,275
O PERIGO DO QUE ELE DISSE;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
AVISO IMPORTANTE;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
MAIS UM POLICIAL MORTO - ATÉ QUANDO?;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
NIKOLAS VAI PRA CIMA DE ALCOLUMBRE  ;0,000;0,104;0,070;0,041;0,054;0,069;0,011;0,000
EXPONDO TODA A HIPOCRISIA DA ESQUERDA;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Desmascarando PETISTA em minutos;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
NIKOLAS RASGA O VERBO E MANDA RECADO PRA TODO O BRASIL;0,000;0,204;0,099;0,109;0,202;0,059;0,046;0,016
Não existe doutrinação?! Tem certeza?;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Pergunta lá no Posto do Nikolas;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
